seed, n, solved, solving time, total time, objective value, MIP gap
-1, 20, True, 1800.097913980484, 1805.808758020401, 757.999999208092, 0.0013192601703651476
100, 10, True, 26.75931692123413, 27.897887468338013, 614.0, 0.0
101, 10, True, 232.117614030838, 233.29327774047852, 660.0, 0.0
102, 10, True, 39.10718607902527, 40.207634687423706, 634.0, 0.0
103, 10, True, 116.2235939502716, 117.39910101890564, 573.0, 0.0
104, 10, True, 71.1267352104187, 72.39214301109314, 560.0, 0.0
105, 10, True, 96.57143521308899, 97.70465230941772, 657.0000000000011, 0.0
106, 10, True, 98.62792086601257, 99.74755144119263, 599.9999999398999, 0.0
107, 10, True, 90.7973415851593, 91.95881485939026, 659.0, 0.0
108, 10, True, 89.8541750907898, 91.0402774810791, 687.0, 0.0
109, 10, True, 105.39154434204102, 106.59818887710571, 601.0, 0.0
