seed, n, solved, solving time, total time, objective value, MIP gap
-1, 20, True, 1800.0199420452118, 1800.2969093322754, 762.9999994234673, 0.47830855476867434
100, 10, True, 1481.460833311081, 1481.5585708618164, 614.0, 0.0
101, 10, True, 1800.0080242156982, 1800.1035900115967, 659.9999999339, 0.14096793397610036
102, 10, True, 561.0655889511108, 561.1688096523285, 634.0, 0.0
103, 10, True, 777.7457556724548, 777.8641183376312, 573.0, 0.0
104, 10, True, 1800.0222969055176, 1800.1314718723297, 561.9999999436998, 0.19103774594265752
105, 10, True, 1800.0304443836212, 1800.1339819431305, 657.9999999340997, 0.16279166531082917
106, 10, True, 1800.0174007415771, 1800.1231544017792, 600.9999999397918, 0.17244955490567257
107, 10, True, 1086.5520272254944, 1086.6839504241943, 659.0, 0.0
108, 10, True, 1370.1939084529877, 1370.3199481964111, 687.0, 0.0
109, 10, True, 1800.0166125297546, 1800.145430803299, 600.9999999397997, 0.0762535918922766
